translations = {
        "report_measures": "उच्च-जोखिम क्षेत्रों में तत्काल निगरानी और तैयारी की सलाह दी जाती है।",
        "voice_alert": "तमिल आवाज़ चेतावनी चलाएँ",
        "pdf_report": "पीडीएफ रिपोर्ट डाउनलोड करें"
    },
    "Telugu": {
        "select_state": "రాజ్యాన్ని ఎంచుకోండి",
        "update_button": "లైవ్ డేటా నవీకరించండి",
        "high": "హై",
        "medium": "మధ్యమ",
        "low": "తక్కువ",
        "high_risk": "హై రిస్క్ జిల్లాలు",
        "medium_risk": "మధ్య రిస్క్ జిల్లాలు",
        "low_risk": "తక్కువ రిస్క్ జిల్లాలు",
        "india_map": "భారత్ వ్యాప్తంగా విపత్తు ప్రమాదం మ్యాప్",
        "district_ranking": "జిల్లా ప్రమాద ర్యాంకింగ్",
        "historical": "చారిత్రక తులన (మునుపటి vs ఇప్పుడు)",
        "before": "మునుపటి",
        "now": "ఇప్పుడు",
        "ai_report": "AI పరిస్థితి నివేదిక",
        "report_intro": "లో",
        "report_measures": "హై-రిస్క్ ప్రాంతాల్లో తక్షణం పర్యవేక్షణ మరియు సిద్ధత చర్యలు సూచించబడతాయి.",
        "voice_alert": "తమిళ్ వాయిస్ అలర్ట్ ప్లే చేయండి",
        "pdf_report": "PDF రిపోర్ట్ డౌన్లోడ్ చేయండి"
    },
    "Kannada": {
        "select_state": "ರಾಜ್ಯವನ್ನು ಆಯ್ಕೆಮಾಡಿ",
        "update_button": "ನೇರ ಡೇಟಾವನ್ನು تازه ಮಾಡಿ",
        "high": "ಹೆಚ್ಚು",
        "medium": "ಮಧ್ಯಮ",
        "low": "ಕಡಿಮೆ",
        "high_risk": "ಹೆಚ್ಚು ಅಪಾಯ ಜಿಲ್ಲೆಗಳು",
        "medium_risk": "ಮಧ್ಯಮ ಅಪಾಯ ಜಿಲ್ಲೆಗಳು",
        "low_risk": "ಕಡಿಮೆ ಅಪಾಯ ಜಿಲ್ಲೆಗಳು",
        "india_map": "ಭಾರತದಾದ್ಯಂತ ವಿಪತ್ತು ಅಪಾಯ ನಕ್ಷೆ",
        "district_ranking": "ಜಿಲ್ಲಾ ಅಪಾಯ ರ್ಯಾಂಕಿಂಗ್",
        "historical": "ಇತಿಹಾಸಾತ್ಮಕ ಹೋಲಿಕೆ (ಹಿಂದೆ vs ಈಗ)",
        "before": "ಹಿಂದೆ",
        "now": "ಇತ್ತೀಚೆಗೆ",
        "ai_report": "ಎಐ ಪರಿಸ್ಥಿತಿ ವರದಿ",
        "report_intro": "ನಂತರ",
        "report_measures": "ಹೆಚ್ಚು ಅಪಾಯ ಪ್ರದೇಶಗಳಲ್ಲಿ ತಕ್ಷಣದ ನಿಗಾ ಮತ್ತು ಸಿದ್ಧತೆ ಕ್ರಮಗಳು ಶಿಫಾರಸು ಮಾಡಲಾಗುತ್ತದೆ.",
        "voice_alert": "ತಮಿಳ್ ಧ್ವನಿ ಎಚ್ಚರಿಕೆ ಪ್ಲೇ ಮಾಡಿ",
        "pdf_report": "PDF ವರದಿ ಡೌನ್‌ಲೋಡ್ ಮಾಡಿ"
    },
    "Malayalam": {
        "select_state": "സംസ്ഥാനം തിരഞ്ഞെടുക്കുക",
        "update_button": "ലൈവ് ഡാറ്റ പുതുക്കുക",
        "high": "ഉയര്‍ന്ന",
        "medium": "മധ്യം",
        "low": "കുറവ്",
        "high_risk": "ഉയര്‍ന്ന അപകട ജില്ലാ",
        "medium_risk": "മധ്യ അപകട ജില്ലകൾ",
        "low_risk": "കുറഞ്ഞ അപകട ജില്ലകൾ",
        "india_map": "ഇന്ത്യാ വ്യാപക ദുരന്ത അപകട ചാർട്ട്",
        "district_ranking": "ജില്ലാ അപകട റാങ്കിംഗ്",
        "historical": "ചരിത്രപരമായ താരതമ്യം (മുൻപ് vs ഇപ്പോൾ)",
        "before": "മുൻപ്",
        "now": "ഇപ്പോൾ",
        "ai_report": "എഐ സ്ഥിതി റിപ്പോർട്ട്",
        "report_intro": "ഇൽ",
        "report_measures": "ഉയര്‍ന്ന അപകട മേഖലകളിൽ തത്സമയ നിരീക്ഷണം, മുൻകരുതൽ നടപടികൾ ആവശ്യമാണ്.",
        "voice_alert": "തമിഴ് ശബ്ദ അലർട്ട് പ്ലേ ചെയ്യുക",
        "pdf_report": "PDF റിപ്പോർട്ട് ഡൗൺലോഡ് ചെയ്യുക"
    },
    "Marathi": {
        "select_state": "राज्य निवडा",
        "update_button": "लाइव्ह डेटा अपडेट करा",
        "high": "उच्च",
        "medium": "मध्यम",
        "low": "कमी",
        "high_risk": "उच्च जोखीम जिल्हे",
        "medium_risk": "मध्यम जोखीम जिल्हे",
        "low_risk": "कमी जोखीम जिल्हे",
        "india_map": "भारतव्यापी आपत्ती जोखीम नकाशा",
        "district_ranking": "जिल्हा जोखीम रँकिंग",
        "historical": "ऐतिहासिक तुलना (मागील vs आता)",
        "before": "मागील",
        "now": "आता",
        "ai_report": "एआय परिस्थिती अहवाल",
        "report_intro": "मध्ये",
        "report_measures": "उच्च-जोखीम क्षेत्रात तात्काळ निरीक्षण आणि तयारी उपाय सुचविले आहेत.",
        "voice_alert": "तमिळ आवाज चेतावणी वाजवा",
        "pdf_report": "PDF अहवाल डाउनलोड करा"
    },
    "Gujarati": {
        "select_state": "રાજ્ય પસંદ કરો",
        "update_button": "લાઇવ ડેટા અપડેટ કરો",
        "high": "ઉચ્ચ",
        "medium": "મધ્યમ",
        "low": "કમ",
        "high_risk": "ઉચ્ચ જોખમ જીલ્લાઓ",
        "medium_risk": "મધ્યમ જોખમ જીલ્લાઓ",
        "low_risk": "કમ જોખમ જીલ્લાઓ",
        "india_map": "ભારત વ્યાપી આપત્તિ જોખમ નકશો",
        "district_ranking": "જિલ્લા જોખમ રેન્કિંગ",
        "historical": "ઇતિહાસીક તુલના (પહેલા vs હવે)",
        "before": "પહેલાં",
        "now": "હવે",
        "ai_report": "AI સ્થિતિ અહેવાલ",
        "report_intro": "માં",
        "report_measures": "ઉચ્ચ-જોખમ વિસ્તારોમાં તાત્કાલિક દેખરેખ અને તૈયારી પગલાં સૂચવવામાં આવ્યા છે.",
        "voice_alert": "તમિલ વોઈસ એલર્ટ ચલાવો",
        "pdf_report": "PDF અહેવાલ ડાઉનલોડ કરો"
    },
    "Bengali": {
        "select_state": "রাষ্ট্র নির্বাচন করুন",
        "update_button": "লাইভ ডেটা আপডেট করুন",
        "high": "উচ্চ",
        "medium": "মধ্যম",
        "low": "কম",
        "high_risk": "উচ্চ ঝুঁকির জেলা",
        "medium_risk": "মধ্য ঝুঁকির জেলা",
        "low_risk": "কম ঝুঁকির জেলা",
        "india_map": "ভারত-ব্যাপী দুর্যোগ ঝুঁকি মানচিত্র",
        "district_ranking": "জেলার ঝুঁকি র‍্যাঙ্কিং",
        "historical": "ঐতিহাসিক তুলনা (পূর্বে বনাম এখন)",
        "before": "পূর্বে",
        "now": "এখন",
        "ai_report": "এআই পরিস্থিতি রিপোর্ট",
        "report_intro": "এ",
        "report_measures": "উচ্চ ঝুঁকির অঞ্চলে তাৎক্ষণিক পর্যবেক্ষণ এবং প্রস্তুতির ব্যবস্থা প্রয়োজন।",
        "voice_alert": "তামিল ভয়েস সতর্কতা চালান",
        "pdf_report": "PDF রিপোর্ট ডাউনলোড করুন"
    },
    "Punjabi": {
        "select_state": "ਰਾਜ ਚੁਣੋ",
        "update_button": "ਲਾਈਵ ਡੇਟਾ ਅਪਡੇਟ ਕਰੋ",
        "high": "ਉੱਚ",
        "medium": "ਮਧਯਮ",
        "low": "ਘੱਟ",
        "high_risk": "ਉੱਚ-ਖ਼ਤਰਾ ਜ਼ਿਲ੍ਹੇ",
        "medium_risk": "ਮਧਯਮ-ਖ਼ਤਰਾ ਜ਼ਿਲ੍ਹੇ",
        "low_risk": "ਘੱਟ-ਖ਼ਤਰਾ ਜ਼ਿਲ੍ਹੇ",
        "india_map": "ਭਾਰਤ-ਵਿਆਪੀ ਆਫ਼ਤ ਖ਼ਤਰਾ ਨਕਸ਼ਾ",
        "district_ranking": "ਜ਼ਿਲ੍ਹਾ ਖ਼ਤਰਾ ਰੈਂਕਿੰਗ",
        "historical": "ਇਤਿਹਾਸਕ ਤੁਲਨਾ (ਪਹਿਲਾਂ vs ਹੁਣ)",
        "before": "ਪਹਿਲਾਂ",
        "now": "ਹੁਣ",
        "ai_report": "ਏਆਈ ਸਥਿਤੀ ਰਿਪੋਰਟ",
        "report_intro": "ਵਿੱਚ",
        "report_measures": "ਉੱਚ-ਖ਼ਤਰਾ ਖੇਤਰਾਂ ਵਿੱਚ ਤੁਰੰਤ ਨਿਗਰਾਨੀ ਅਤੇ ਤਿਆਰੀ ਦੇ ਕਦਮ ਲੈਣ ਦੀ ਸਿਫ਼ਾਰਸ਼ ਕੀਤੀ ਜਾਂਦੀ ਹੈ।",
        "voice_alert": "ਤਮਿਲ ਵਾਇਸ ਅਲਰਟ ਚਲਾਓ",
        "pdf_report": "PDF ਰਿਪੋਰਟ ਡਾਊਨਲੋਡ ਕਰੋ"
    },
    "Odia": {
        "select_state": "ରାଜ୍ୟ ଚୟନ କରନ୍ତୁ",
        "update_button": "ଲାଇଭ୍ ଡାଟା ଅପଡେଟ୍ କରନ୍ତୁ",
        "high": "ଉଚ୍ଚ",
        "medium": "ମଧ୍ୟମ",
        "low": "ନିମ୍ନ",
        "high_risk": "ଉଚ୍ଚ ଝୁଲିକି ଜିଲ୍ଲାଗୁଡିକ",
        "medium_risk": "ମଧ୍ୟମ ଝୁଲିକି ଜିଲ୍ଲାଗୁଡିକ",
        "low_risk": "କମ୍ ଝୁଲିକି ଜିଲ୍ଲାଗୁଡିକ",
        "india_map": "ଭାରତ-ସର୍ବପରି ଆପଦ ଝୁଲିକି ମାନଚିତ୍ର",
        "district_ranking": "ଜିଲ୍ଲା ଝୁଲିକି ର୍ୟାଙ୍କିଂ",
        "historical": "ଇତିହାସ ତୁଳନା (ପূର୍ବରୁ vs ବର୍ତ୍ତମାନ)",
        "before": "ପୂର୍ବରୁ",
        "now": "ବର୍ତ୍ତମାନ",
        "ai_report": "AI ସ୍ଥିତି ରିପୋର୍ଟ",
        "report_intro": "ରାଜ୍ୟରେ",
        "report_measures": "ଉଚ୍ଚ-ଝୁଲିକି ଅଞ୍ଚଳରେ ତତ୍କାଳ ନିରୀକ୍ଷଣ ଏବଂ ପ୍ରସ୍ତୁତି ଉପାୟ ଆବଶ୍ୟକ।",
        "voice_alert": "ତମିଳ ଭଏସ୍ ଆଲର୍ଟ ଚାଲାନ୍ତୁ",
        "pdf_report": "PDF ରିପୋର୍ଟ ଡାଉନଲୋଡ୍ କରନ୍ତୁ"
    },
    "Assamese": {
        "select_state": "ৰাজ্য বাছনি কৰক",
        "update_button": "লাইভ ডাটা আপডেট কৰক",
        "high": "উচ্চ",
        "medium": "মধ্যম",
        "low": "নিম্ন",
        "high_risk": "উচ্চ ঝুঁকি জিলাসমূহ",
        "medium_risk": "মধ্য ঝুঁকি জিলাসমূহ",
        "low_risk": "নিম্ন ঝুঁকি জিলাসমূহ",
        "india_map": "ভাৰত-ব্যাপী দুৰ্যোগ ঝুঁকি মানচিত্র",
        "district_ranking": "জিলা ঝুঁকি ৰেংকিং",
        "historical": "ইতিহাসিক তুলনা (আগতে vs এতিয়া)",
        "before": "আগতে",
        "now": "এতিয়া",
        "ai_report": "AI অৱস্থা প্ৰতিবেদন",
        "report_intro": "ৰাজ্যত",
        "report_measures": "উচ্চ-ঝুঁকি অঞ্চলত তৎক্ষণাত নিৰীক্ষণ আৰু প্ৰস্তুতি ব্যৱস্থা প্ৰয়োজন।",
        "voice_alert": "তামিল ভয়েচ অ্যালার্ট প্লে কৰক",
        "pdf_report": "PDF প্ৰতিবেদন ডাউনলোড কৰক"
    }
}
